card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
059,ds-product-strategy,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,3,047|048,text,320,Product strategy,Core mastery,"Translate business and tokenomics goals into product features and UX, then prioritize first versions and next iterations.",,,,,,,,,,,,,,product-strategy|tokenomics|prioritization|features|ux,CV Core Capabilities & Domains: Deep vertical
060,ds-product-ux-ui-design,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,4,047|048,text,320,"Product, UX and UI design for digital products",Core mastery,"Complex flows, design systems, component libraries, web, app, dashboards, responsive design, onboarding, trading, staking, and configuration UX.",,,,,,,,,,,,,,product-design|ux|ui|complex-flows|dashboards|responsive-design,CV Core Capabilities & Domains: Deep vertical
061,ds-ai-native-product-creation,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,7,009,text,320,AI-native product creation,Core mastery,"Use AI across concept development, product thinking, content, prototyping, documentation, web/app experiments, and selected builds.",,,,,,,,,,,,,,ai-native|prototyping|documentation|experimentation|build,CV Core Capabilities & Domains: Deep vertical
062,ds-creative-direction-art-direction,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,6,001|002|009|049|050,text,320,Creative direction and art direction,Core mastery,"Visual language, motion direction, photography and 3D mood, and coherent execution across touchpoints, vendors, and teams.",,,,,,,,,,,,,,creative-direction|art-direction|visual-language|motion|quality,CV Core Capabilities & Domains: Deep vertical
063,ds-content-narrative,show,ds,ds-core-strong-horizontals,Strong horizontals,5,1,006|007|010,text,320,Content and narrative,Strong horizontal,"Technical communication, product explanation, strategic writing, documentation, reports, decks, UX content, and narrative logic.",,,,,,,,,,,,,,content|narrative|technical-writing|documentation|ux-copy,CV Core Capabilities & Domains: Strong horizontals
064,ds-sales-client-management,show,ds,ds-core-strong-horizontals,Strong horizontals,5,2,008|051|053,text,320,Sales and client management,Strong horizontal,"10+ years closing and delivering B2B design engagements with practical understanding of procurement, expectations, and client-side risk.",,,,,,,,,,,,,,sales|client-management|b2b|delivery|risk,CV Core Capabilities & Domains: Strong horizontals
065,ds-operations-finance,show,ds,ds-core-strong-horizontals,Strong horizontals,5,3,008|051|053,text,320,Operations and finance,Strong horizontal,"Budgeting, invoicing, cash-flow planning, ROI thinking, and cost-benefit trade-off judgment from running a studio.",,,,,,,,,,,,,,operations|finance|roi|budgeting|studio-management,CV Core Capabilities & Domains: Strong horizontals
066,ds-trading-automation-capability,show,ds,ds-core-strong-horizontals,Strong horizontals,5,4,047,text,320,Trading and automation,Strong horizontal,"Trader and automated strategy user/builder experience with trader psychology, execution logic, transparency, and risk controls.",,,,,,,,,,,,,,trading|automation|risk-controls|trader-ux|hyperliquid,CV Core Capabilities & Domains: Strong horizontals
067,ds-training-facilitation,show,ds,ds-core-strong-horizontals,Strong horizontals,5,5,003|052,text,320,Training and facilitation,Strong horizontal,"Designed and led workshops for branding, UX, product discovery, ecosystem work, and public AI/design sessions.",,,,,,,,,,,,,,training|facilitation|workshops|product-discovery|brand-discovery,CV Core Capabilities & Domains: Strong horizontals
068,ds-public-speaking-networking,show,ds,ds-core-strong-horizontals,Strong horizontals,5,6,007|010,text,320,Public speaking and networking,Strong horizontal,"Comfortable on stage, in panels, and in Web3 ecosystems through TOKEN2049, Interchain Summit, ETH Warsaw, and other events.",,,,,,,,,,,,,,public-speaking|networking|events|web3-community|communication,CV Core Capabilities & Domains: Strong horizontals
069,ds-award-token2049-origins,show,ds,ds-awards-recognition,Awards and recognition,10,1,009|049|050,metric,320,TOKEN2049 Origins Hackathon,,,2nd,place in AlphaTON challenge,,Awards & Recognition,,,,,,,,,,award|token2049|alphaton|hackathon|web3,CV IX. Awards & Recognition
070,ds-award-digital-ars,show,ds,ds-awards-recognition,Awards and recognition,10,2,009|049|050,metric,320,Digital Ars 2023/24,,,3rd,place in No Code category for PANiRAMA,,Awards & Recognition,,,,,,,,,,award|digital-ars|no-code|ai|prototype,CV IX. Awards & Recognition
071,ds-award-behance,show,ds,ds-awards-recognition,Awards and recognition,10,3,049|050,metric,320,Behance curated galleries,,,24x,featured in curated galleries,,Awards & Recognition,,,,,,,,,,award|behance|creative-quality|portfolio,CV IX. Awards & Recognition
072,ds-award-csswinner-cssreel,show,ds,ds-awards-recognition,Awards and recognition,10,4,049,metric,320,CSSWinner / CSSReel,,,29x,website of the day,,Awards & Recognition,,,,,,,,,,award|csswinner|cssreel|web-design|ui-craft,CV IX. Awards & Recognition
073,ds-award-awwwards,show,ds,ds-awards-recognition,Awards and recognition,10,5,049,metric,320,Awwwards,,,13x,honorable mention,,Awards & Recognition,,,,,,,,,,award|awwwards|web-design|ui-craft,CV IX. Awards & Recognition
074,ds-award-fromupnorth,show,ds,ds-awards-recognition,Awards and recognition,10,6,049,metric,320,FromUpNorth,,,5x,featured,,Awards & Recognition,,,,,,,,,,award|fromupnorth|visual-design|creative-quality,CV IX. Awards & Recognition
075,ds-award-adweek,show,ds,ds-awards-recognition,Awards and recognition,10,7,049,metric,320,Adweek talent gallery,,,2x,featured in talent gallery,,Awards & Recognition,,,,,,,,,,award|adweek|creative-quality|talent-gallery,CV IX. Awards & Recognition
076,ds-award-packaging-of-the-world,show,ds,ds-awards-recognition,Awards and recognition,10,8,049,metric,320,Packaging Of The World,,,2x,featured in packaging gallery,,Awards & Recognition,,,,,,,,,,award|packaging|visual-design|brand-design,CV IX. Awards & Recognition
077,ds-award-repl,show,ds,ds-awards-recognition,Awards and recognition,10,9,049,metric,320,RE:PL Polish rebranding competition,,,Top 10,Polish rebranding of the year 2017,,Awards & Recognition,,,,,,,,,,award|rebranding|brand-strategy|visual-design,CV IX. Awards & Recognition
078,ds-award-token-big,show,ds,ds-awards-recognition,Awards and recognition,10,10,,big-image,664,,,,,,,TOKEN2049 Origins Hackathon Certificate,ds_cardimage_big_1.png,,,,,,,,,,
079,ds-findai-link,show,ds,ds-ai-native,AI-native proof,11,8,009,link,320,FindAI by Dawid Skinder,Proof surface,Code-facing proof that the work is moving beyond static files into AI-assisted build and prototype territory.,,,,,,FindAI by Dawid Skinder,https://findai.dawidskinder.pl,,,,,,,github|prototype|build|public-proof,Outer ring link
080,ds-terraclassic-link,hide,ds,ds-wallet-crypto,Wallet and crypto,2,9,,link,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,,Terra Classic Case Study,https://www.behance.net/gallery/242785097/Terra-Classic-Brand-strategy-website,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Hidden after importing stronger main-site Web3 proof cards; duplicate BigBang link no longer needed.
081,ds-bigbang-cex-link,hide,ds,ds-wallet-crypto,Wallet and crypto,2,10,,link,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,,BigBang CEX Case Study,https://www.behance.net/gallery/143483047/BIGBANG-crypto-exchange-Branding-UXUI-design,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Hidden after importing stronger main-site Web3 proof cards; duplicate BigBang link no longer needed.
082,institutional-grade-communication-without-killing-crypto-native-energy,show,ds,ds-security-risk,Security and risk,1,6,001|010,quote,320,Institutional-Grade Communication Without Killing Crypto-Native Energy,,,,,"The job is not to sterilize Web3 until it sounds like banking. The job is to translate crypto-native energy into a professional, defensible product narrative that institutions can trust without losing the community.","Tone principle for Web3, fintech and institutional-facing products.",,,,,,,,,,Brand Strategy|Content & Narrative|Public Speaking & Networking|Web3|Narrative|Trust UX|Public Presence,Imported from main DS 2026 row 060; case-study rows adapted to Trust Wallet DS card templates.
083,ds-complexproduct-big,show,ds,ds-complex-products,Complex products,6,1,,big-image,664,,,,,,,TOKEN2049 Origins Hackathon Certificate,ds_cardimage_big_2.png,,,,,,,,,,
084,panirama-ai-no-code-experiment-recognized-by-digital-ars,show,ds,ds-ai-native,AI-native proof,11,6,004|009|050,text-image-ext,320,PANiRAMA — AI / no-code experiment recognized by Digital Ars,AI / no-code recognition,"PANiRAMA is an AI and no-code experiment that extended my work beyond classic design output into interactive creation. Its recognition in the Digital Ars context supports the same pattern: using AI to produce working, memorable artifacts, not just visuals.",,,,3rd place in No Code category / Digital Ars context,ds_cardimage_23.png,,,,,,,,,Product Strategy|AI-native Product Creation|Creative Direction & Art Direction|AI|AI-Native|Prototype|Award,Imported from main DS 2026 row 021; case-study rows adapted to Trust Wallet DS card templates.
085,puya-e-web3-founder-perspective-on-strategic-brand-work,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,2,002|049|050,testimonial,664,Puya E.,"CEO, Juris Protocol",,,,"We saw CHALLENGE Studio’s previous results and professionalism. Dawid (CEO) is a pro in his field and treats projects and clients’ needs very seriously. They were reasonable within our budget, and we felt they really thought about our project. It didn’t feel like we were just another client; They truly identified with the brand he created for us.",,ds_cardimage_testimonial_6.png,,,,,,,,,Product Strategy|Brand Strategy|Sales & Client Management|Testimonial|Web3|DeFi|Brand System,Imported from main DS 2026 row 114; case-study rows adapted to Trust Wallet DS card templates.
086,iwo-pietak-trust-sensitive-products-wallets-exchanges-defi-and-stablecoins,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,3,001|010|048,testimonial,664,Iwo Piętak,"CEO and Co-Founder, theVelopers.eu",,,,"I’d strongly recommend Dawid to any team building wallets, exchanges, DeFi products, stablecoin systems, or other trust-sensitive digital asset products. He brings a rare mix of product thinking, UX discipline, and real understanding of how to design for high-stakes environments.",,ds_cardimage_testimonial_5.png,,,,,,,,,Product Strategy|Product/UX/UI Design|Trading & Automation|Testimonial|Web3|DeFi|Trust UX,Imported from main DS 2026 row 115; case-study rows adapted to Trust Wallet DS card templates.
087,wojciech-kaczmarek-professionalism-quality-and-mistake-prevention,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,4,003|005|008|010|049|051|052|053,testimonial,664,Wojciech Kaczmarek,Managing Director at SMSAPI / LINK Mobility,,,,"I have been working with Dawid for over five years. In addition to their excellent design skills and an excellent knowledge of contemporary trends, he offers a level of professionalism that is hard to find among people in this demanding industry. He met every challenge, despite the very wide scope of projects, ensured the highest quality in each of them and did not allow us to make mistakes.",,ds_cardimage_testimonial_4.png,,,,,,,,,Design Leadership & Operating Model|Product Strategy|Sales & Client Management|Testimonial|Leadership|Commercial Impact,Imported from main DS 2026 row 116; case-study rows adapted to Trust Wallet DS card templates.
088,filip-pietrek-open-communication-and-understanding-business-goals,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,6,006|007|008|010|051,testimonial,664,Filip Pietrek,"Marketing Manager, Hamilton May",,,,"I was most impressed with the quality of the outcome and the knowledge transfer process. Dawid was very professional. He didn’t just rely on our initial brief to guide the project. Instead, he took the time to understand our business goals and maintain an open line of communication, which resulted in great designs and a fantastic outcome.",,ds_cardimage_testimonial_1.png,,,,,,,,,Product Strategy|Product/UX/UI Design|Sales & Client Management|Testimonial|Growth|Product UX,Imported from main DS 2026 row 118; case-study rows adapted to Trust Wallet DS card templates.
089,maciej-liwi-ski-creative-work-that-avoided-clich-s,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,7,002|050,testimonial,664,Maciek Śliwiński,"PR & Branding Specialist, Rage Quit Games",,,,The most impressive thing about working with Dawid was the ease with which he was able to find its way in the complicated world of games and they present such creatives that met our expectations and at the same time were not cliché.,,ds_cardimage_testimonial_2.png,,,,,,,,,Brand Design|Creative Direction & Art Direction|Testimonial|Gaming|Creative Direction,Imported from main DS 2026 row 119; case-study rows adapted to Trust Wallet DS card templates.
090,lo-c-bellez-ai-native-collaborator-at-token2049-origins-hackathon,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,1,007|009|010|047,testimonial,664,Loïc Bellez,"CEO, wispr",,,,"I had the chance to work with Dawid during TOKEN2049 in Singapore, where we built together in the Origins Hackathon and finished 2nd. What stood out to me was how naturally he operates in an AI-native way. Many people say they use AI, but Dawid actually uses it as part of how he thinks, explores, prototypes, and moves ideas toward something real.",,ds_cardimage_testimonial_7.png,,,,,,,,,Product Strategy|AI-native Product Creation|Public Speaking & Networking|Testimonial|AI-Native|Web3|Public Presence,Imported from main DS 2026 row 099; case-study rows adapted to Trust Wallet DS card templates.
091,b-a-ej-pa-dzior-mentorship-direction-and-team-growth,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,5,003|005|008|049|051|052|053,testimonial,664,Błażej Paździor,Lead UX/UI Designer,,,,"Dawid is an excellent mentor and team leader. He has a genuine ability to share knowledge, motivate people, and push the team toward better, more effective work. He set clear direction without micromanaging, gave constructive feedback that actually moved projects forward, and created space for each team member to grow. Under his lead, our small team consistently delivered quality work across multiple client projects, often under tight deadlines.",,ds_cardimage_testimonial_3.png,,,,,,,,,Design Leadership & Operating Model|Creative Direction & Art Direction|Training & Facilitation|Testimonial|Leadership|Creative Direction,Imported from main DS 2026 row 117; case-study rows adapted to Trust Wallet DS card templates.
092,till-ziegler-testimonial,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,8,001|007|010|048|050,testimonial,664,Till Ziegler,"CTO & Blockchain Dev, Juris Protocol",,,,"I worked with Dawid through Juris Protocol and also alongside him in the Terra Classic community, where both product clarity and technical credibility matter a lot.

What stands out about Dawid is that he does not approach Web3 as a surface-level designer. He makes a serious effort to understand the system underneath: the protocol logic, user flows, risk points, governance context, and the technical constraints that shape what can actually be built. That makes him much more useful to technical teams than a typical brand or UX person.",,ds_cardimage_testimonial_8.png,,,,,,,,,Product Strategy|Brand Strategy|Sales & Client Management|Testimonial|Web3|DeFi|Brand System,Imported from main DS 2026 row 128; case-study rows adapted to Trust Wallet DS card templates.
132,maciej-mucha-grounded-creative-art-direction-team-proof,show,ds,testimonials-and-human-proof,Testimonials & Human Proof,12,9,003|005|008|010|049|050|051|052|053,testimonial,664,Maciej Mucha,Senior Product / UX / UI Designer,,,,"Man with both feet on the ground, always. He is very energetic with positive impact on colleagues. We did many projects together and Dawid made himself known as helpful and creative guy. Great Art Direction skills including many years of experience in design industry made our projects easier and very well targeted. He listens requirements very carefully and is always on the right track with innovative solutions. Good team-mate in overall.",,ds_cardimage_testimonial_9.png,,,,,,,,,Design Leadership & Operating Model|Product/UX/UI Design|Creative Direction & Art Direction|Testimonial|Leadership|Creative Direction|Product UX,Added 2026-05-18 from owner-provided Maciej Mucha testimonial.
093,silesia-design-meetup-importance-of-key-visual-design-in-branding-and-ux-ui,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,5,004|006|009,text-image-ext,320,Silesia Design Meetup — Importance of Key Visual design in branding and UX/UI,"Silesia Design Meetup — Gliwice, September 2021","Presented the role of Key Visual design in branding and UX/UI processes: how a strong visual idea can align brand expression, interface direction, campaign language, and product memorability.",,,,Talk: Importance of Key Visual design in branding and UX/UI processes.,ds_cardimage_19.png,,,,,,,,,Brand Design|Creative Direction & Art Direction|Training & Facilitation|Public Speaking & Networking|Public Speaking|Brand System|Creative Direction|Public Presence,Imported from main DS 2026 row 074; case-study rows adapted to Trust Wallet DS card templates.
094,ux-makers-3-ux-well-packaged-how-to-experience-branding,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,6,007|010,text-image-ext,320,UX Makers #3 — UX well packaged: how to experience branding,"UX Makers #3 — Katowice, March 2018","Spoke about branding as an experience layer inside UX, not just a surface identity. The talk connected packaging, perception, interaction, and digital product clarity.",,,,Talk: UX well packaged — how to experience branding.,ds_cardimage_20.png,,,,,,,,,Product/UX/UI Design|Brand Strategy|Training & Facilitation|Public Speaking & Networking|Public Speaking|Product UX|Brand System|Public Presence,Imported from main DS 2026 row 075; case-study rows adapted to Trust Wallet DS card templates.
095,g-spot-marketing-2-logo-fu-k-up-how-to-avoid-crucial-mistakes-in-visual-identifi,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,7,005,text,320,G-Spot Marketing #2 — Logo fu*k up: how to avoid crucial mistakes in visual identification,"G-Spot Marketing #2 — Gliwice, March 2017","Delivered a direct talk about how to avoid crucial mistakes in visual identification. The session focused on brand craft, logo logic, consistency, and the business cost of weak identity decisions.",,,,Talk: Logo fu*k up — how to avoid crucial mistakes in visual identification.,,,,,,,,,,Brand Design|Creative Direction & Art Direction|Training & Facilitation|Public Speaking & Networking|Public Speaking|Brand System|Creative Direction|Public Presence,Imported from main DS 2026 row 076; case-study rows adapted to Trust Wallet DS card templates.
096,x-spaces-and-community-calls-explaining-product-direction-in-public,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,8,006|007|010,text,320,X Spaces and Community Calls — Explaining product direction in public,,"I use public community formats to explain product direction, test narratives, listen to objections, and sharpen positioning in real time. In Web3, communication is not separate from product adoption — it is part of the operating layer.",,,,"Public communication across X Spaces, ecosystem calls, community discussions, and founder / builder conversations.",,,,,,,,,,Content & Narrative|Public Speaking & Networking|Public Speaking|Web3|Narrative|Public Presence,Imported from main DS 2026 row 077; case-study rows adapted to Trust Wallet DS card templates.
097,global-web3-mobility-comfortable-where-product-narrative-and-visibility-overlap,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,9,006|007,badge,185,"Global Web3 Mobility — Comfortable where product, narrative and visibility overlap",,"Comfortable representing products and ecosystems in live environments where product clarity, narrative, trust, and presence matter.",,,,"Useful for conferences, panels, partner conversations, workshops, and ecosystem-facing roles.",,,,,,,,,,Sales & Client Management|Public Speaking & Networking|Web3|Public Presence|Leadership,Imported from main DS 2026 row 078; case-study rows adapted to Trust Wallet DS card templates.
098,public-contributor-not-portfolio-tourist,show,ds,public-web3-presence-events-and-speaking,"Public Web3 Presence, Events & Speaking",7,10,006|007,quote,320,"Public Contributor, Not Portfolio Tourist",,,,,"I do not just attend Web3 events. I represent products, test narratives, debate with builders, gather feedback, and turn live conversations into clearer positioning.",Public-facing operating principle.,,,,,,,,,,Product Strategy|Brand Strategy|Public Speaking & Networking|Web3|Public Presence|Leadership|Narrative,Imported from main DS 2026 row 079; case-study rows adapted to Trust Wallet DS card templates.
099,ideal-engagement-launch-clarify-reposition-redesign-explain-prototype,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,6,001|047,text,320,"Ideal engagement: Launch, clarify, reposition, redesign, explain, prototype",Engagement model,"The best use of me is not isolated decoration. Use me when a product needs to become clearer, more credible and more usable: launch strategy, repositioning, UX redesign, narrative architecture, documentation, pitch materials or AI-native prototype work.",,,,"Architect, Builder and Communicator — one senior operator connecting the system.",,,,,,,,,,Product Strategy|AI-native Product Creation|Brand Strategy|Content & Narrative|CTA|AI-Native|Brand System|Narrative,Imported from main DS 2026 row 125; case-study rows adapted to Trust Wallet DS card templates.
100,not-a-narrow-pixel-pusher-a-senior-operator-who-connects-the-dots,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,7,001|047,quote,320,Not a narrow pixel-pusher — a senior operator who connects the dots,,Not a narrow pixel-pusher — a senior operator who connects the dots,,,,Practical-fit principle from my operating model.,,,,,,,,,,Design Leadership & Operating Model|Product Strategy|Brand Strategy|CTA|Leadership|Product UX|Brand System,Imported from main DS 2026 row 126; case-study rows adapted to Trust Wallet DS card templates.
101,book-a-discovery-call-with-me,show,ds,practical-fit-for-tech-fintech-and-web3-decision-makers,"Practical Fit for Tech, Fintech & Web3 Decision-Makers",8,8,,link,320,Book a discovery call with me,,"For project work, fractional support or full-time leadership conversations across Tech, Fintech and Web3.",,,,Start with a focused conversation around the highest-leverage gap.,,Book a discovery call,https://calendly.com/dawidskinder/intro-call,,,,,,,Sales & Client Management|CTA,Imported from main DS 2026 row 127; case-study rows adapted to Trust Wallet DS card templates.
102,challenge-studio-built-and-led-an-award-winning-creative-agency,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,1,001|003|008|049|051|052|053,text-image-ext,320,CHALLENGE Studio — Built and led an award-winning creative agency,Founder / Creative Director,"I built CHALLENGE Studio into an award-winning brand and product/UX agency, leading design and development teams up to 15 specialists across strategy, identity, websites, UX/UI, digital products and launch materials. This is the operating proof behind my Web3 work: hiring, sales, scoping, delivery, quality control, client trust and commercial judgment under real pressure.",,,,"Agency-founder proof, not only design-craft proof.",ds_cardimage_5.png,,,,,,,,,Design Leadership & Operating Model|Creative Direction & Art Direction|Sales & Client Management|Operations & Finance|Leadership|Commercial Impact|Creative Direction,Imported from main DS 2026 row 080; case-study rows adapted to Trust Wallet DS card templates.
103,squad-leadership-direction-standards-and-quality-without-micromanagement,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,2,003|005|052|053,text,320,"Squad Leadership — Direction, standards and quality without micromanagement",Team leadership,"My role is to set the direction, raise the quality bar and create the system that lets specialists do their best work. I align designers, developers, writers, founders and stakeholders around clear decisions, critique rituals, ownership, delivery standards and a shared definition of what “good” means.",,,,"Best used when a team needs senior direction, not more noise.",,,,,,,,,,Design Leadership & Operating Model|Creative Direction & Art Direction|Training & Facilitation|Leadership|Creative Direction|Trust UX,Imported from main DS 2026 row 081; case-study rows adapted to Trust Wallet DS card templates.
104,one-man-army-when-needed-leader-of-a-squad-when-it-matters,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,3,003|047|052,quote,320,"One-Man Army When Needed, Leader of a Squad When It Matters",,,,,"I can carry an early project on my back if needed, but my real superpower is building and leading the system that lets a whole team ship great work consistently.",Operating principle from my playbook.,,,,,,,,,,Design Leadership & Operating Model|Product Strategy|AI-native Product Creation|Leadership|AI-Native|Product UX,Imported from main DS 2026 row 082; case-study rows adapted to Trust Wallet DS card templates.
105,sales-estimation-proposals-contracts-and-client-management,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,4,008|051|053,text,320,"Sales, Estimation, Proposals, Contracts and Client Management",Commercial operator,"Running CHALLENGE Studio trained me to operate beyond design craft: full sales cycles, project estimation, proposals, contracts, scope control, procurement realities, stakeholder management and client trust. I understand what decision-makers risk when they hire a team, because I have lived on both the creative and business side of that table.",,,,"Useful for founders who need someone with commercial judgment, not only execution skill.",,,,,,,,,,Design Leadership & Operating Model|Sales & Client Management|Operations & Finance|Leadership|Commercial Impact,Imported from main DS 2026 row 083; case-study rows adapted to Trust Wallet DS card templates.
106,budgeting-invoicing-and-cash-flow-reality,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,5,008|051|053,text,320,"Budgeting, Invoicing and Cash-Flow Reality",Founder reality,"I have dealt with the unglamorous layer of creative work: budgets, invoices, margins, cash-flow timing, delivery risk, cost-benefit trade-offs and project ROI. That experience makes my product and design decisions more grounded: beautiful work still has to survive business reality.",,,,Founder-level financial discipline applied to creative and product work.,,,,,,,,,,Sales & Client Management|Operations & Finance|Leadership|Commercial Impact,Imported from main DS 2026 row 084; case-study rows adapted to Trust Wallet DS card templates.
107,hiring-mentorship-critique-rituals-and-quality-standards,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,6,003|005|008|052|053,text,320,"Hiring, Mentorship, Critique Rituals and Quality Standards",Design leadership system,"I have built the team operating system around hiring, onboarding, mentorship cadence, design critique, documentation, cross-team consistency and release readiness. The goal is not to control every decision. The goal is to make the standard visible enough that the team can scale without quality collapsing.",,,,How creative quality becomes repeatable instead of accidental.,,,,,,,,,,Design Leadership & Operating Model|Training & Facilitation|Leadership|Creative Direction,Imported from main DS 2026 row 085; case-study rows adapted to Trust Wallet DS card templates.
108,10-years-closing-and-delivering-b2b-creative-engagements,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,7,003|008|049|051|052|053,metric,320,10+ years closing and delivering B2B creative engagements,Commercial track record,,10+,years closing and delivering B2B creative engagements,,"Proof of sales, scoping, delivery and client-management maturity from running CHALLENGE Studio.",,,,,,,,,,Design Leadership & Operating Model|Sales & Client Management|Operations & Finance|Metric|Leadership|Commercial Impact,Imported from main DS 2026 row 087; case-study rows adapted to Trust Wallet DS card templates.
129,challenge-studio-design-development-team-1,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,8,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_1.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
130,challenge-studio-design-development-team-2,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,9,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_2.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
131,challenge-studio-design-development-team-3,show,ds,agency-founder-team-leadership-and-delivery-system,"Agency Founder, Team Leadership & Delivery System",13,10,001|003|008|049|051|052|053,image,320,,,,,,,CHALLENGE Studio design & development team under my management,ds_challenge_3.png,,,,,,,,,Design Leadership & Operating Model|Leadership|Creative Direction,Added 2026-05-18 from owner-provided CHALLENGE Studio team imagery.
109,edrone-brand-strategy-that-solved-the-previously-unsolved-logo-problem,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,1,002|004|006|050|051,text-image-ext,320,A brand strategy that solves the previously unsolved logo problem and becomes the foundation for building digital tools,edrone,"Creating the brand strategy that will solve the problem of the similarity of the mark in the current edrone logo to the popular ""hamburger"" menu icon while maintaining the assumption of using 3 lines. Designing a key visual that will explain the meaning of the 3 dots and will be the basis for building modern digital tools edrone (new website).",,,,Marketing automation,case_edrone_01.jpg,View source case study,,,,,,,,Brand Strategy|Brand Design|Creative Direction & Art Direction|Case Study|SaaS|Brand System|Creative Direction,Imported from main DS 2026 row 032; case-study rows adapted to Trust Wallet DS card templates.
110,tekniska-strategy-and-digital-tools-that-overcame-a-15m-pln-revenue-barrier,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,2,002|004|049|050,text-image-ext,320,Business and brand strategy as well as effective digital tools overcame a 15M PLN revenue barrier,Tekniska,"Tekniska has not been able to overcome the barrier of PLN 15,000,000 in annual revenue in recent years. This was due to the lack of a marketing strategy and chaos in the services offered. The goal was to solve this problem by implementing effective branding and UX/UI strategies.",$4M+,revenue barrier broken,,OT Data Transmission and Cybersecurity,case_tekniska_01.jpg,View source case study,https://www.behance.net/gallery/118430449/TEKNISKA-Strategy-branding-UXUI-design,,,,,,,Product Strategy|Product/UX/UI Design|Brand Strategy|Brand Design|Case Study|Industrial|Brand System|Growth|Commercial Impact,Imported from main DS 2026 row 033; case-study rows adapted to Trust Wallet DS card templates.
111,bluesoft-brand-strategy-and-ux-ui-for-1000-engineers-across-200-technologies,show,ds,brand-systems-identity-and-market-positioning,"Brand Systems, Identity & Market Positioning",14,3,002|004|049|050|051,text-image-ext,320,Brand strategy & UX/UI design for software house with 1000 world-class engineers mastering over 200 technologies,Bluesoft,Solving the logo problem (misleading graphic solution) and building a coherent visual identification for a modern software company implementing digital transformation projects for corporations around the world.,,,,Software House,case_bluesoft_01.jpg,View source case study,https://www.behance.net/gallery/143561411/Bluesoft-Branding-UXUI-design,,,,,,,Product/UX/UI Design|Brand Strategy|Brand Design|Case Study|Tech|SaaS|Brand System|Product UX,Imported from main DS 2026 row 034; case-study rows adapted to Trust Wallet DS card templates.
